Entity,Code,Day,people_vaccinated
Connecticut,,2021-01-30,340886
Connecticut,,2021-01-31,349879
Connecticut,,2021-02-01,357588
Connecticut,,2021-02-02,361495
Connecticut,,2021-02-03,365975
Connecticut,,2021-02-04,375795
Connecticut,,2021-02-05,387627
Connecticut,,2021-02-06,395554
Connecticut,,2021-02-07,402227
Connecticut,,2021-02-08,406697
Connecticut,,2021-02-09,412601
Connecticut,,2021-02-10,423296
Connecticut,,2021-02-11,437058
Connecticut,,2021-02-12,450204
Connecticut,,2021-02-13,462710
Connecticut,,2021-02-14,473106
Connecticut,,2021-02-16,494373
Connecticut,,2021-02-17,509165
Connecticut,,2021-02-18,525133
Connecticut,,2021-02-19,558539
Connecticut,,2021-02-20,572145
Connecticut,,2021-02-21,579380
Connecticut,,2021-02-22,592976
Connecticut,,2021-02-23,600303
Connecticut,,2021-02-24,615837
Connecticut,,2021-02-25,627101
Connecticut,,2021-02-26,650134
Connecticut,,2021-02-27,671322
Connecticut,,2021-02-28,690663
Connecticut,,2021-03-01,712375
Connecticut,,2021-03-02,719571
Connecticut,,2021-03-03,736848
Connecticut,,2021-03-04,759702
Connecticut,,2021-03-05,790039
Connecticut,,2021-03-06,822106
Connecticut,,2021-03-07,856048
Connecticut,,2021-03-08,883688
Connecticut,,2021-03-09,897576
Connecticut,,2021-03-10,920595
Connecticut,,2021-03-11,948575
Connecticut,,2021-03-12,984384
Connecticut,,2021-03-13,933227
Connecticut,,2021-03-14,933367
Connecticut,,2021-03-15,952509
Connecticut,,2021-03-16,964706
Connecticut,,2021-03-17,977155
Connecticut,,2021-03-18,993878
Connecticut,,2021-03-19,1014611
Connecticut,,2021-03-20,1034439
Connecticut,,2021-03-21,1057505
Connecticut,,2021-03-22,1079370
Connecticut,,2021-03-23,1093483
Connecticut,,2021-03-24,1108552
Connecticut,,2021-03-25,1131532
Connecticut,,2021-03-26,1155239
Connecticut,,2021-03-27,1178160
Connecticut,,2021-03-28,1202316
Connecticut,,2021-03-29,1225480
Connecticut,,2021-03-30,1244384
Connecticut,,2021-03-31,1262503
Connecticut,,2021-04-01,1284258
Connecticut,,2021-04-02,1307704
Connecticut,,2021-04-03,1338982
Connecticut,,2021-04-04,1365965
Connecticut,,2021-04-05,1385278
Connecticut,,2021-04-06,1389383
Connecticut,,2021-04-07,1414139
Connecticut,,2021-04-08,1447944
Connecticut,,2021-04-09,1486441
Connecticut,,2021-04-10,1519748
Connecticut,,2021-04-11,1555580
Connecticut,,2021-04-12,1583584
Connecticut,,2021-04-13,1603712
Connecticut,,2021-04-14,1629882
Connecticut,,2021-04-15,1654786
Connecticut,,2021-04-16,1689462
Connecticut,,2021-04-17,1717977
Connecticut,,2021-04-18,1744185
Connecticut,,2021-04-19,1762218
Connecticut,,2021-04-20,1776427
Connecticut,,2021-04-21,1793931
Connecticut,,2021-04-22,1815120
Connecticut,,2021-04-23,1835971
Connecticut,,2021-04-24,1858560
Connecticut,,2021-04-25,1878986
Connecticut,,2021-04-26,1897401
Connecticut,,2021-04-27,1907736
Connecticut,,2021-04-28,1923029
Connecticut,,2021-04-29,1937627
Connecticut,,2021-04-30,1952869
Connecticut,,2021-05-01,1967859
Connecticut,,2021-05-02,1980863
Connecticut,,2021-05-03,1990235
Connecticut,,2021-05-04,1995763
Connecticut,,2021-05-05,2002749
Connecticut,,2021-05-06,2014587
Connecticut,,2021-05-07,2025677
Connecticut,,2021-05-08,2034240
Connecticut,,2021-05-09,2043434
Connecticut,,2021-05-10,2053599
Connecticut,,2021-05-11,2060086
Connecticut,,2021-05-12,2065427
Connecticut,,2021-05-13,2072166
Connecticut,,2021-05-14,2078246
Connecticut,,2021-05-15,2089008
Connecticut,,2021-05-16,2104203
Connecticut,,2021-05-17,2118098
Connecticut,,2021-05-18,2127484
Connecticut,,2021-05-19,2135973
Connecticut,,2021-05-20,2150515
Connecticut,,2021-05-21,2164655
Delaware,,2021-01-12,15911
Delaware,,2021-01-13,16647
Delaware,,2021-01-14,25649
Delaware,,2021-01-15,25649
Delaware,,2021-01-19,35679
Delaware,,2021-01-20,38610
Delaware,,2021-01-21,41900
Delaware,,2021-01-22,45292
Delaware,,2021-01-23,49442
Delaware,,2021-01-24,52586
Delaware,,2021-01-25,55131
Delaware,,2021-01-26,56646
Delaware,,2021-01-27,64952
Delaware,,2021-01-28,68959
Delaware,,2021-01-29,72684
Delaware,,2021-01-30,76980
Delaware,,2021-01-31,82970
Delaware,,2021-02-01,84482
Delaware,,2021-02-02,85143
Delaware,,2021-02-03,88325
Delaware,,2021-02-04,89727
Delaware,,2021-02-05,92265
Delaware,,2021-02-06,94962
Delaware,,2021-02-07,98450
Delaware,,2021-02-08,100736
Delaware,,2021-02-09,101383
Delaware,,2021-02-10,103319
Delaware,,2021-02-11,105760
Delaware,,2021-02-12,108096
Delaware,,2021-02-13,111918
Delaware,,2021-02-14,114564
Delaware,,2021-02-16,117600
Delaware,,2021-02-17,118666
Delaware,,2021-02-18,121487
Delaware,,2021-02-19,130818
Delaware,,2021-02-20,133187
Delaware,,2021-02-21,133251
